item_cardapio,componente,papel,porcao_total_est_g,status,status_match,referencia,fonte,restaurantes,grupo_alternativa,kcal_min,kcal_est,kcal_max,proteina_g_min,proteina_g_est,proteina_g_max,carbo_g_min,carbo_g_est,carbo_g_max,lipidios_g_min,lipidios_g_est,lipidios_g_max,fibra_g_min,fibra_g_est,fibra_g_max,sodio_mg_min,sodio_mg_est,sodio_mg_max
"Pts com ervilha partida, chuchu e cará",proteína texturizada de soja,principal,130.0,proporcao_desconhecida,aceito,"Soja, proteína, texturizada, hidratada (c/ caldo de legumes), s/ sal,",TBCA,,,,,,,,,,,,,,,,,,,,
"Pts com ervilha partida, chuchu e cará",ervilha partida,componente,130.0,proporcao_desconhecida,aceito,"Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, s/ sal, Pisum sativum L., | Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal, Pisum sativum L.,",TBCA,,,,,,,,,,,,,,,,,,,,
"Pts com ervilha partida, chuchu e cará",chuchu,componente,130.0,proporcao_desconhecida,ambiguo,"Chuchu, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal, Sechium edule, | Chuchu, s/ casca, refogado (c/ óleo, cebola e alho), s/ sal, Sechium edule,",TBCA,,,,,,,,,,,,,,,,,,,,
"Pts com ervilha partida, chuchu e cará",cará,componente,130.0,proporcao_desconhecida,ambiguo,"Cará, refogado (c/ óleo, cebola e alho), s/ sal, Dioscorea alata L., | Cará, refogado (c/ óleo, cebola e alho), c/ sal, Dioscorea alata L.,",TBCA,,,,,,,,,,,,,,,,,,,,
Arroz integral,arroz integral,arroz,140.0,aceito,aceito,"Arroz, integral, cozido, s/ sal, s/ óleo, Orysa sativa L.,",TBCA,,,129.6,151.2,194.4,2.928,3.4159999999999995,4.3919999999999995,28.2,32.9,42.3,1.044,1.218,1.5659999999999998,2.544,2.968,3.8160000000000003,0.576,0.672,0.8639999999999999
Feijão,feijão,feijao,100.0,variedade_desconhecida,variedade_desconhecida,"Feijão, carioca, cozido | Feijão, jalo, cozido | Feijão, preto, cozido | Feijão, rajado, cozido | Feijão, rosinha, cozido | Feijão, roxo, cozido",TACO,,,54.29298301714262,79.27545602602585,120.56189599999999,3.583333333333334,5.199305555555555,7.986875,9.458199999999998,14.014977777777775,21.443825,0.32,0.5009444444444445,0.7050333333333334,3.8079999999999994,9.395166666666666,18.0258,0.4162666666666667,1.393,2.7048666666666668
Batatas bravas (com páprica),batatas bravas,acompanhamento,100.0,proporcao_desconhecida,baixa_confianca,"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal, Chaerophyllum bulbosum,",TBCA,,,,,,,,,,,,,,,,,,,,
Batatas bravas (com páprica),páprica,condimento,100.0,proporcao_desconhecida,aceito,"Páprica, em pó, Capsicum annuum,",TBCA,,,,,,,,,,,,,,,,,,,,
Salada de beterraba ralada,beterraba ralada,salada,80.0,aceito,aceito,"Beterraba, crua",TACO,,,29.29710521739129,39.06280695652172,48.82850869565215,1.1673913043478261,1.5565217391304347,1.9456521739130435,6.666608695652175,8.888811594202899,11.111014492753622,0.05399999999999999,0.072,0.09,2.024,2.6986666666666665,3.3733333333333335,5.832000000000001,7.776,9.72
Maçã,maçã,sobremesa,130.0,ambiguo,ambiguo,"Maçã, c/ casca, in natura, Malus spp.,",TBCA,,,64.0,83.2,102.4,0.29,0.37699999999999995,0.46399999999999997,15.7,20.41,25.12,0.49,0.637,0.784,2.07,2.691,3.312,0.66,0.858,1.056
Refresco de maracujá,refresco de maracujá,bebida,200.0,proxy_controlado,proxy_controlado,"Maracujá, suco concentrado, envasado | Maracujá, suco, concentrado, envasado,",TACO+TBCA,RS,alternativa_1,75.54117599999998,84.96731999999999,107.5,1.38,1.5366666666666666,1.925,17.344799999999985,19.275999999999993,24.1,0.342,0.38333333333333336,0.48333333333333345,0.6299999999999999,0.7036666666666666,0.8841666666666665,39.0462,43.39233333333333,54.25
refresco de pêssego,refresco de pêssego,bebida,200.0,proxy_controlado,proxy_controlado,"Suco, néctar, pêssego,",TBCA,"RU,RA,HC,CAISM",alternativa_1,100.8,112.0,140.0,0.486,0.54,0.675,25.02,27.8,34.75,0.036000000000000004,0.04,0.05,1.08,1.2,1.5,12.6,14.0,17.5
